"Date","mean_temp"
2022-06-01,13.5488095238095
2022-06-02,11.3092447916667
2022-06-03,11.4743923611111
2022-06-04,12.2463107638889
2022-06-05,12.0505642361111
2022-06-06,11.3888888888889
2022-06-07,11.2868923611111
2022-06-08,11.5983072916667
2022-06-09,12.02734375
2022-06-10,11.5807291666667
2022-06-11,11.2426215277778
2022-06-12,11.3062065972222
2022-06-13,10.2805989583333
2022-06-14,9.49262152777778
2022-06-15,11.1061197916667
2022-06-16,12.0392795138889
2022-06-17,12.7491319444444
2022-06-18,12.6124131944444
2022-06-19,12.2289496527778
2022-06-20,12.11328125
2022-06-21,11.3075086805556
2022-06-22,11.1853298611111
2022-06-23,12.3988715277778
2022-06-24,13.9351128472222
2022-06-25,14.1846788194444
2022-06-26,14.4273003472222
2022-06-27,14.8424479166667
2022-06-28,15.1165364583333
2022-06-29,14.8678385416667
2022-06-30,14.0520833333333
2022-07-01,14.4609375
2022-07-02,15.0900607638889
2022-07-03,14.9917534722222
2022-07-04,15.7322048611111
2022-07-05,16.2369791666667
2022-07-06,16.1375868055556
2022-07-07,15.6788194444444
2022-07-08,15.4796006944444
2022-07-09,15.3025173611111
2022-07-10,14.9325086805556
2022-07-11,14.2211371527778
2022-07-12,11.3836805555556
2022-07-13,11.3917100694444
2022-07-14,11.3706597222222
2022-07-15,11.75390625
2022-07-16,12.7180989583333
2022-07-17,13.1490885416667
2022-07-18,13.1636284722222
2022-07-19,12.1662326388889
2022-07-20,11.7634548611111
2022-07-21,11.6571180555556
2022-07-22,12.4973958333333
2022-07-23,12.2055121527778
2022-07-24,12.4216579861111
2022-07-25,12.8975694444444
2022-07-26,14.6994357638889
2022-07-27,13.4166666666667
2022-07-28,13.5227864583333
2022-07-29,14.2000868055556
2022-07-30,14.3324652777778
2022-07-31,13.7688802083333
2022-08-01,13.4147135416667
2022-08-02,12.5262586805556
2022-08-03,12.6295572916667
2022-08-04,13.92578125
2022-08-05,13.8148871527778
2022-08-06,12.4468315972222
2022-08-07,12.6030815972222
2022-08-08,11.9314236111111
2022-08-09,11.8413628472222
2022-08-10,11.7111545138889
2022-08-11,12.35546875
2022-08-12,13.8009982638889
2022-08-13,14.0368923611111
2022-08-14,13.3114149305556
2022-08-15,12.5121527777778
2022-08-16,12.2374131944444
2022-08-17,11.8406635802469
