"Date","mean_temp"
2022-06-03,13.115234375
2022-06-04,14.48046875
2022-06-05,12.5212673611111
2022-06-06,11.0618489583333
2022-06-07,13.1208767361111
2022-06-08,12.4639756944444
2022-06-09,12.4900173611111
2022-06-10,11.4685329861111
2022-06-11,11.2133246527778
2022-06-12,11.2035590277778
2022-06-13,9.921875
2022-06-14,9.33246527777778
2022-06-15,13.7302517361111
2022-06-16,13.2311197916667
2022-06-17,15.5525173611111
2022-06-18,14.4776475694444
2022-06-19,13.3411458333333
2022-06-20,12.6046006944444
2022-06-21,11.7660590277778
2022-06-22,12.0594618055556
2022-06-23,14.7141927083333
2022-06-24,15.6254340277778
2022-06-25,16.1000434027778
2022-06-26,17.2884114583333
2022-06-27,17.2376302083333
2022-06-28,17.1336805555556
2022-06-29,15.5319010416667
2022-06-30,14.9188368055556
2022-07-01,17.5837673611111
2022-07-02,17.4898003472222
2022-07-03,17.7782118055556
2022-07-04,19.0186631944444
2022-07-05,18.6642795138889
2022-07-06,17.7391493055556
2022-07-07,17.8522135416667
2022-07-08,17.2003038194444
2022-07-09,16.5709635416667
2022-07-10,15.3891059027778
2022-07-11,13.0483940972222
2022-07-12,8.88389756944444
2022-07-13,11.7484809027778
2022-07-14,10.1345486111111
2022-07-15,13.1401909722222
2022-07-16,13.3580729166667
2022-07-17,15.2439236111111
2022-07-18,13.0397135416667
2022-07-19,12.05078125
2022-07-20,10.8526475694444
2022-07-21,12.7599826388889
2022-07-22,13.0249565972222
2022-07-23,12.8075086805556
2022-07-24,12.396484375
2022-07-25,15.0457899305556
2022-07-26,17.54296875
2022-07-27,12.31640625
2022-07-28,14.46875
2022-07-29,15.5368923611111
2022-07-30,15.3307291666667
2022-07-31,13.0186631944444
2022-08-01,13.9780815972222
2022-08-02,10.9854600694444
2022-08-03,13.1362847222222
2022-08-04,16.1412760416667
2022-08-05,14.0746527777778
2022-08-06,11.8522135416667
2022-08-07,12.6822916666667
2022-08-08,10.8832465277778
2022-08-09,12.7170138888889
2022-08-10,10.1688368055556
2022-08-11,14.3168402777778
2022-08-12,15.5041232638889
2022-08-13,15.0774739583333
2022-08-14,12.9950086805556
2022-08-15,12.8391927083333
2022-08-16,11.9281684027778
2022-08-17,10.7334104938272
