"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","max_canopy_height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"1",2657,1990,1990,"JB","H15Sa10",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.6,26.2,28.2,10,22,29,30,7,10,14,"H15SA10",3398.664,6,10.3333333333333,27,27.2,"Northern"
"2",2658,1991,1991,"JB","H15Sa11",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,3.5,3.1,3.2,10,20,17,13,6,7,8,"H15SA11",34.72,6,7,16.6666666666667,3.15,"Northern"
"3",1340,1340,1340,"JB","H15Sa12",2015,"Salix arctica","Qikiqtaruk","2019-08-23",8,23,2019,5,NA,NA,NA,39.37,31.84,27.5,6.58,7.92,11.26,"H15SA12",NA,4,8.58666666666667,32.9033333333333,NA,"Northern"
"4",787,787,787,"JB","H15Sa14",2015,"Salix arctica","Qikiqtaruk","2018-08-18",8,18,2018,4.1,NA,NA,NA,22.02,19.37,18.8,4.67,4.29,3.29,"H15SA14",NA,3,4.08333333333333,20.0633333333333,NA,"Northern"
"5",3160,3160,3160,"JB","H15Sa15",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2,9.5,6,9,23,24,16,19,22,8,"H15SA15",114,7,16.3333333333333,21,7.75,"Northern"
"6",2662,1995,1995,"JB","H15Sa18",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,5.2,7.1,5.6,6,16,14,8,11,4,11,"H15SA18",206.752,6,8.66666666666667,12.6666666666667,6.35,"Northern"
"7",3153,3153,3153,"JB","H15Sa19",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4.5,19,17,11,26,30,24,27,31,39,"H15SA19",1453.5,7,32.3333333333333,26.6666666666667,18,"Northern"
"8",792,792,792,"JB","H15Sa20",2015,"Salix arctica","Qikiqtaruk","2018-08-18",8,18,2018,5.8,NA,NA,NA,17.3,19.6,24.61,4.59,5.23,3.03,"H15SA20",NA,3,4.28333333333333,20.5033333333333,NA,"Northern"
"9",3141,3141,3141,"JB","H15Sa3",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4.5,16,19,8,25,19,52,12,5,25,"H15SA3",1368,7,14,32,17.5,"Northern"
"10",269,269,269,"JB","H15Sa4",2015,"Salix arctica","Qikiqtaruk","2017-08-14",8,14,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA4",NA,2,NA,NA,NA,"Northern"
"11",270,270,270,"JB","H15Sa5",2015,"Salix arctica","Qikiqtaruk","2017-08-14",8,14,2017,0.7,NA,NA,NA,NA,NA,NA,4,NA,NA,"H15SA5",NA,2,NA,NA,NA,"Northern"
"12",1352,1352,1352,"JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk","2019-08-23",8,23,2019,5.6,NA,NA,NA,27.56,23.68,27.31,20.97,22.2,21.62,"H15SA7",NA,4,21.5966666666667,26.1833333333333,NA,"Northern"
"13",2667,2000,2000,"JB","H15Sa9",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,2.2,14.1,7.2,10,33,NA,NA,11,24,22,"H15SA9",223.344,6,19,NA,10.65,"Northern"
"14",800,800,800,"IMS","H15Sp1",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,6.2,NA,NA,NA,19.02,13.11,16.06,4.39,7.79,4.95,"H15SP1",NA,3,5.71,16.0633333333333,NA,"Northern"
"15",2011,2269,2269,"CF","H15Sp10",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,7.1,13.2,7.3,13,21,22,24,19,15,11,"H15SP10",684.156,5,15,22.3333333333333,10.25,"Northern"
"16",277,277,277,"CF","H15Sp11",2015,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,2.6,NA,NA,NA,NA,NA,NA,13,7,NA,"H15SP11",NA,2,NA,NA,NA,"Northern"
"17",803,803,803,"CF","H15Sp12",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,1.5,NA,NA,NA,7.47,6.71,4.84,1.97,1.31,1.32,"H15SP12",NA,3,1.53333333333333,6.34,NA,"Northern"
"18",64,64,64,"CF","H15Sp13",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,13.8,NA,NA,NA,37,42,44,53,47,10,"H15SP13",NA,1,36.6666666666667,41,NA,"Northern"
"19",65,65,65,"CF","H15Sp14",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,16.3,NA,NA,NA,48,19,18,19,15,NA,"H15SP14",NA,1,NA,28.3333333333333,NA,"Northern"
"20",66,66,66,"CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,21.3,NA,NA,NA,31,41,40,46,30,NA,"H15SP15",NA,1,NA,37.3333333333333,NA,"Northern"
"21",67,67,67,"CF","H15Sp16",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,17.8,NA,NA,NA,33,32,32,16,14,6,"H15SP16",NA,1,12,32.3333333333333,NA,"Northern"
"22",68,68,68,"CF","H15Sp17",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,19,NA,NA,NA,27,24,16,18,15,8,"H15SP17",NA,1,13.6666666666667,22.3333333333333,NA,"Northern"
"23",809,809,809,"CF","H15Sp18",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,17.1,NA,NA,NA,23.04,24.84,25.72,8.13,5.09,3.54,"H15SP18",NA,3,5.58666666666667,24.5333333333333,NA,"Northern"
"24",1365,1365,1365,"CF","H15Sp19",2015,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,11.1,NA,NA,NA,18.97,15.95,14.93,22.67,21.15,5.42,"H15SP19",NA,4,16.4133333333333,16.6166666666667,NA,"Northern"
"25",71,71,71,"IMS","H15Sp2",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,31,NA,NA,NA,17,21,14,23,22,18,"H15SP2",NA,1,21,17.3333333333333,NA,"Northern"
"26",2676,2009,2009,"CF","H15Sp20",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,8.7,9,5.5,10,21,NA,NA,7,6,11,"H15SP20",430.65,6,8,NA,7.25,"Northern"
"27",75,75,75,"MG","H15Sp23",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,9.5,NA,NA,NA,NA,NA,NA,19,16,NA,"H15SP23",NA,1,NA,NA,NA,"Northern"
"28",816,816,816,"MG","H15Sp24",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,11.3,NA,NA,NA,21.14,23.09,20.79,22.79,24.78,15.4,"H15SP24",NA,3,20.99,21.6733333333333,NA,"Northern"
"29",3118,3118,3118,"AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,9,14,10,15,19,18,23,14,13,19,"H15SP25",1260,7,15.3333333333333,20,12,"Northern"
"30",293,293,293,"AB","H15Sp26",2015,"Salix pulchra","Qikiqtaruk","2017-08-14",8,14,2017,4.3,NA,NA,NA,NA,NA,NA,25,NA,NA,"H15SP26",NA,2,NA,NA,NA,"Northern"
"31",79,79,79,"AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,19,NA,NA,NA,21,17,15,18,13,NA,"H15SP27",NA,1,NA,17.6666666666667,NA,"Northern"
"32",819,819,819,"AB","H15Sp29",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,9.6,NA,NA,NA,20.39,22.97,22.34,3.53,3.17,1.4,"H15SP29",NA,3,2.7,21.9,NA,"Northern"
"33",297,297,297,"IMS","H15Sp3",2015,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,2.1,NA,NA,NA,NA,NA,NA,9,NA,NA,"H15SP3",NA,2,NA,NA,NA,"Northern"
"34",823,823,823,"IMS","H15Sp5",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,7.4,NA,NA,NA,17.14,20.69,16.68,4.83,4.29,2.75,"H15SP5",NA,3,3.95666666666667,18.17,NA,"Northern"
