"","...1","...2","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.1","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","cover","cover_percent","biomass_per_m2","biomass_error_high","biomass_error_low"
"41",147,2360,"SL",2017,"Salix pulchra","Common_garden",NA,8,9,2021,23.6,30.5,24.5,9,29,29,28,7,39,29,"PC17SP1",4,25,28.6666666666667,27.5,"Southern",2877,NA,NA,NA,NA,NA,NA,NA,NA,0.074725,7.4725,161.1886,174.7786,147.5986
"42",148,2361,"JG",2017,"Salix pulchra","Common_garden",NA,8,11,2021,8.5,16.6,7.5,8,31,32,36,13,21,17,"PC17SP10",4,17,33,12.05,"Southern",2878,NA,NA,NA,NA,NA,NA,NA,NA,0.01245,1.245,31.7892,45.3792,18.1992
"43",149,2362,"SL",2017,"Salix pulchra","Common_garden",NA,8,9,2021,4,9,8.5,10,22,20,19,7,12,10,"PC17SP3",4,9.66666666666667,20.3333333333333,8.75,"Southern",2879,NA,NA,NA,NA,NA,NA,NA,NA,0.00765,0.765,18.2124,31.8024,4.6224
"44",150,2364,"CF",2017,"Salix pulchra","Common_garden",NA,8,11,2021,8.5,28.5,21,13,26,31,36,13,26,13,"PC17SP5",4,17.3333333333333,31,24.75,"Southern",2881,NA,NA,NA,NA,NA,NA,NA,NA,0.05985,5.985,117.8676,131.4576,104.2776
"45",151,2365,"CF",2017,"Salix pulchra","Common_garden",NA,8,11,2021,5,14.5,15,11,16,18,17,9,5,6,"PC17SP6",4,6.66666666666667,17,14.75,"Southern",2882,NA,NA,NA,NA,NA,NA,NA,NA,0.02175,2.175,44.898,58.488,31.308
"46",152,2366,"JG",2017,"Salix pulchra","Common_garden",NA,8,11,2021,14,10,39,5,38,27,25,37,51,38,"PC17SP7",4,42,30,24.5,"Southern",2883,NA,NA,NA,NA,NA,NA,NA,NA,0.039,3.9,85.944,99.534,72.354
"47",153,2367,"JG",2017,"Salix pulchra","Common_garden",NA,8,11,2021,9.6,19.5,14,11,29,31,30,31,22,7,"PC17SP8",4,20,30,16.75,"Southern",2884,NA,NA,NA,NA,NA,NA,NA,NA,0.0273,2.73,59.9448,73.5348,46.3548
"48",154,2368,"JG",2017,"Salix pulchra","Common_garden",NA,8,11,2021,16,17.5,16.5,12,28,27,31,11,14,19,"PC17SP9",4,14.6666666666667,28.6666666666667,17,"Southern",2885,NA,NA,NA,NA,NA,NA,NA,NA,0.028875,2.8875,69.717,83.307,56.127
"49",164,2378,"AB",2017,"Salix pulchra","Common_garden",NA,8,11,2021,11.8,13.1,13,13,34,33,33,30,34,24,"PP17SP12",4,29.3333333333333,33.3333333333333,13.05,"Southern",2897,NA,NA,NA,NA,NA,NA,NA,NA,0.01703,1.703,43.67048,57.26048,30.08048
"50",165,2379,"AB",2017,"Salix pulchra","Common_garden",NA,8,11,2021,15.2,14.1,12.2,13,24,23,26,26,19,22,"PP17SP13",4,22.3333333333333,24.3333333333333,13.15,"Southern",2898,NA,NA,NA,NA,NA,NA,NA,NA,0.017202,1.7202,47.654832,61.244832,34.064832
"51",166,2380,"AB",2017,"Salix pulchra","Common_garden",NA,8,11,2021,15.3,17.2,14.1,12,20,24,17,10,8,8,"PP17SP15",4,8.66666666666667,20.3333333333333,15.65,"Southern",2899,NA,NA,NA,NA,NA,NA,NA,NA,0.024252,2.4252,60.565632,74.155632,46.975632
"52",181,2396,"IMS",2013,"Salix pulchra","Common_garden",NA,8,17,2022,9.8,8,7.5,22,34,31,30,69,41,25,"KLSPC1",9,45,31.6666666666667,7.75,"Southern",2915,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.6,21.48,35.07,7.89
"53",182,2397,"IMS",2013,"Salix pulchra","Common_garden",NA,8,17,2022,9,15,5,10,25,23,15,14,8,37,"KLSPC2",9,19.6666666666667,21,10,"Southern",2916,NA,NA,NA,NA,NA,NA,NA,NA,0.0075,0.75,23.34,36.93,9.75
"54",183,2398,"IMS",2013,"Salix pulchra","Common_garden",NA,8,17,2022,20,49,40,18,35,34,45,17,21,33,"KLSPC3",9,23.6666666666667,38,44.5,"Southern",2917,NA,NA,NA,NA,NA,NA,NA,NA,0.196,19.6,377.536,391.126,363.946
"55",184,2399,"IMS",2013,"Salix pulchra","Common_garden",NA,8,17,2022,25.1,23.5,18,36,33,27,24,112,210,120,"KLSPE1",9,147.333333333333,28,20.75,"Southern",2918,NA,NA,NA,NA,NA,NA,NA,NA,0.0423,4.23,103.9248,117.5148,90.3348
"56",185,2401,"IMS",2013,"Salix pulchra","Common_garden",NA,8,17,2022,10,9,10,11,28,25,21,10,9,8,"KLSPE3",9,9,24.6666666666667,9.5,"Southern",2920,NA,NA,NA,NA,NA,NA,NA,NA,0.009,0.9,27.144,40.734,13.554
"57",186,2402,"IMS",2013,"Salix pulchra","Common_garden",NA,8,17,2022,45,74,89,45,33,28,31,15,13,23,"KLSPE4",9,17,30.6666666666667,81.5,"Southern",2921,NA,NA,NA,NA,NA,NA,NA,NA,0.6586,65.86,1244.6176,1258.2076,1231.0276
"58",187,2403,"IMS",2013,"Salix pulchra","Common_garden",NA,8,17,2022,21.5,45,40.5,22,45,43,26,130,36,27,"KLSPE5",9,64.3333333333333,38,42.75,"Southern",2922,NA,NA,NA,NA,NA,NA,NA,NA,0.18225,18.225,354.186,367.776,340.596
"59",190,2407,"IMS",2017,"Salix pulchra","Common_garden",NA,8,17,2022,16,19,18,11,33,27,20,14,35,14,"KP17SP1",5,21,26.6666666666667,18.5,"Southern",2926,NA,NA,NA,NA,NA,NA,NA,NA,0.0342,3.42,79.3872,92.9772,65.7972
"60",191,2408,"IMS",2017,"Salix pulchra","Common_garden",NA,8,17,2022,16,25,16.5,18,22,18,50,46,19,13,"KP17SP2",5,26,30,20.75,"Southern",2927,NA,NA,NA,NA,NA,NA,NA,NA,0.04125,4.125,92.19,105.78,78.6
"61",212,2434,"SL",2016,"Salix pulchra","Common_garden",NA,8,17,2022,12,39,25,15,24,20,23,23,25,43,"PC16CWSP9",6,30.3333333333333,22.3333333333333,32,"Southern",2953,NA,NA,NA,NA,NA,NA,NA,NA,0.0975,9.75,190.02,203.61,176.43
"62",213,2435,"SL",2016,"Salix pulchra","Common_garden",NA,8,17,2022,60,38,34,15,54,51,45,390,245,150,"PC16CWSP7",6,261.666666666667,50,36,"Southern",2954,NA,NA,NA,NA,NA,NA,NA,NA,0.1292,12.92,299.4272,313.0172,285.8372
"63",214,2436,"SL",2017,"Salix pulchra","Common_garden",NA,8,17,2022,25,42,56,8,42,40,39,340,400,200,"PC17SP1",5,313.333333333333,40.3333333333333,49,"Southern",2955,NA,NA,NA,NA,NA,NA,NA,NA,0.2352,23.52,454.1232,467.7132,440.5332
"64",215,2437,"SL",2017,"Salix pulchra","Common_garden",NA,8,17,2022,4,8.5,9.5,12,27,19,25,17,27,35,"PC17SP3",5,26.3333333333333,23.6666666666667,9,"Southern",2956,NA,NA,NA,NA,NA,NA,NA,NA,0.008075,0.8075,18.9842,32.5742,5.3942
"65",216,2438,"SL",2017,"Salix pulchra","Common_garden",NA,8,17,2022,35.5,61,32,14,34,34,37,170,110,70,"KP17SP5",5,116.666666666667,35,46.5,"Southern",2957,NA,NA,NA,NA,NA,NA,NA,NA,0.1952,19.52,392.8232,406.4132,379.2332
"66",249,2481,"CF",2013,"Salix pulchra","Common_garden",NA,8,17,2022,29,32,24,12,23,21,30,13,15,27,"KLSPE7",9,18.3333333333333,24.6666666666667,28,"Southern",3000,NA,NA,NA,NA,NA,NA,NA,NA,0.0768,7.68,170.7888,184.3788,157.1988
"67",250,2482,"CF",2013,"Salix pulchra","Common_garden",NA,8,17,2022,17,106,24,67,37,40,35,43,71,19,"KLSPE8",9,44.3333333333333,37.3333333333333,65,"Southern",3001,NA,NA,NA,NA,NA,NA,NA,NA,0.2544,25.44,480.3504,493.9404,466.7604
"68",252,2485,"CF",2016,"Salix pulchra","Common_garden",NA,8,17,2022,11,21,18,17,45,38,36,31,33,21,"KP16SP43",6,28.3333333333333,39.6666666666667,19.5,"Southern",3004,NA,NA,NA,NA,NA,NA,NA,NA,0.0378,3.78,80.5248,94.1148,66.9348
"69",253,2486,"CF",2016,"Salix pulchra","Common_garden",NA,8,17,2022,22,41,20,19,64,51,47,230,50,70,"KP16SP46",6,116.666666666667,54,30.5,"Southern",3005,NA,NA,NA,NA,NA,NA,NA,NA,0.082,8.2,172.672,186.262,159.082
"70",254,2487,"CF",2016,"Salix pulchra","Common_garden",NA,8,17,2022,12,10,8,5,37,32,33,18,14,36,"KP16SP51",6,22.6666666666667,34,9,"Southern",3006,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.8,27.488,41.078,13.898
"71",255,2488,"CF",2016,"Salix pulchra","Common_garden",NA,8,17,2022,16,33,21,10,52,48,17,160,140,20,"KP16SP52",6,106.666666666667,39,27,"Southern",3007,NA,NA,NA,NA,NA,NA,NA,NA,0.0693,6.93,143.1288,156.7188,129.5388
"72",257,2491,"CF",2017,"Salix pulchra","Common_garden",NA,8,17,2022,8,29,22,27,20,14,21,6,7,12,"PC17SP5",5,8.33333333333333,18.3333333333333,25.5,"Southern",3010,NA,NA,NA,NA,NA,NA,NA,NA,0.0638,6.38,124.5008,138.0908,110.9108
"73",258,2492,"CF",2017,"Salix pulchra","Common_garden",NA,8,17,2022,8.5,12,8,19,38,25,39,29,21,6,"PC17SP6",5,18.6666666666667,34,10,"Southern",3011,NA,NA,NA,NA,NA,NA,NA,NA,0.0096,0.96,26.6136,40.2036,13.0236
"74",261,2498,"JG",2016,"Salix pulchra","Common_garden",NA,8,17,2022,4.5,9.5,8,9,32,21,22,22,10,19,"KP16SP39",6,17,25,8.75,"Southern",3035,NA,NA,NA,NA,NA,NA,NA,NA,0.0076,0.76,18.6616,32.2516,5.0716
"75",262,2499,"JG",2016,"Salix pulchra","Common_garden",NA,8,17,2022,27,49,45,16,33,30,40,43,62,82,"KP16SP56",6,62.3333333333333,34.3333333333333,47,"Southern",3036,NA,NA,NA,NA,NA,NA,NA,NA,0.2205,22.05,429.588,443.178,415.998
"76",263,2500,"JG",2017,"Salix pulchra","Common_garden",NA,8,17,2022,10,14,10,6,31,23,20,25,16,33,"PC17SP7",5,24.6666666666667,24.6666666666667,12,"Southern",3037,NA,NA,NA,NA,NA,NA,NA,NA,0.014,1.4,36.224,49.814,22.634
"77",264,2501,"JG",2017,"Salix pulchra","Common_garden",NA,8,17,2022,15.5,51,41,13,29,37,35,320,100,110,"PC17SP8",5,176.666666666667,33.6666666666667,46,"Southern",3038,NA,NA,NA,NA,NA,NA,NA,NA,0.2091,20.91,396.4656,410.0556,382.8756
"78",265,2502,"JG",2017,"Salix pulchra","Common_garden",NA,8,17,2022,15,21,19.5,12,31,26,29,17,30,37,"PC17SP9",5,28,28.6666666666667,20.25,"Southern",3039,NA,NA,NA,NA,NA,NA,NA,NA,0.04095,4.095,90.5652,104.1552,76.9752
"79",266,2503,"JG",2017,"Salix pulchra","Common_garden",NA,8,17,2022,6.5,19.5,14,18,32,21,31,17,12,13,"PC17SP10",5,14,28,16.75,"Southern",3040,NA,NA,NA,NA,NA,NA,NA,NA,0.0273,2.73,56.5968,70.1868,43.0068
"80",268,2505,"JG",2018,"Salix pulchra","Common_garden",NA,8,17,2022,26,45,31,12,50,41,38,130,150,200,"KP18SP4",4,160,43,38,"Southern",3042,NA,NA,NA,NA,NA,NA,NA,NA,0.1395,13.95,281.412,295.002,267.822
"81",269,2506,"JG",2018,"Salix pulchra","Common_garden",NA,8,17,2022,13,8,7.5,12,28,25,33,15,12,12,"KP18SP3",4,13,28.6666666666667,7.75,"Southern",3043,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.6,24.936,38.526,11.346
"82",270,2507,"JG",2018,"Salix pulchra","Common_garden",NA,8,17,2022,68,66,61,22,41,44,43,375,420,460,"KP18SP2",4,418.333333333333,42.6666666666667,63.5,"Southern",3044,NA,NA,NA,NA,NA,NA,NA,NA,0.4026,40.26,804.5616,818.1516,790.9716
"83",271,2508,"JG",2018,"Salix pulchra","Common_garden",NA,8,17,2022,27,49,42,17,48,41,21,102,83,50,"KP18SP1",4,78.3333333333333,36.6666666666667,45.5,"Southern",3045,NA,NA,NA,NA,NA,NA,NA,NA,0.2058,20.58,402.8928,416.4828,389.3028
"84",273,2510,"JG",2016,"Salix pulchra","Common_garden",NA,8,17,2022,18,61,33,20,28,21,24,74,37,16,"KP16SP59",6,42.3333333333333,24.3333333333333,47,"Southern",3047,NA,NA,NA,NA,NA,NA,NA,NA,0.2013,20.13,385.0008,398.5908,371.4108
