"","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.1","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter"
"1","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,15,15,NA,NA,NA,"HESP1","2",NA,14.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,13,11,NA,NA,NA,"HESP12","2",NA,12.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP17","2",NA,9.66666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,19,15,17,NA,NA,NA,"HESP18","2",NA,17,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,11,10,10,NA,NA,NA,"HESP2","2",NA,10.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,20,24,19,NA,NA,NA,"HESP20","2",NA,21,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AB",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,25,17,NA,NA,NA,"HESP23","2",NA,19.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","AB",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,16,15,10,NA,NA,NA,"HESP30","2",NA,13.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP4","2",NA,9.66666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,18,18,15,NA,NA,NA,"HESP6","2",NA,17,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,20,14,NA,NA,NA,"HESR13","2",NA,15.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,6,3,6,NA,NA,NA,"HESR16","2",NA,5,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,20,16,16,NA,NA,NA,"HESR17","2",NA,17.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","LB",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,9,11,NA,NA,NA,"HESR2","2",NA,10,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,11,8,5,NA,NA,NA,"HESR20","2",NA,8,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,14,15,NA,NA,NA,"HESR21","2",NA,15.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,18,19,NA,NA,NA,"HESR23","2",NA,17,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,5,4,NA,NA,NA,"HESR24","2",NA,7.66666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,19,14,NA,NA,NA,"HESR26","2",NA,16,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,10,13,NA,NA,NA,"HESR27","2",NA,12.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,15,14,NA,NA,NA,"HESR29","2",NA,14.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","LB",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,8,6,9,NA,NA,NA,"HESR3","2",NA,7.66666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","LB",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,9,14,9,NA,NA,NA,"HESR4","2",NA,10.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,13,13,NA,NA,NA,"HESR6","2",NA,13.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,9,9,11,NA,NA,NA,"HESR7","2",NA,9.66666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,12,12,23,NA,NA,NA,"HESR8","2",NA,15.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,12,17,10,NA,NA,NA,"KLSPC1","2",NA,13,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,21,19,19,NA,NA,NA,"KLSPC10","2",NA,19.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","AB",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,12,11,10,NA,NA,NA,"KLSPC12","2",NA,11,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","AB",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,25,18,14,NA,NA,NA,"KLSPC13","2",NA,19,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,12,10,NA,NA,NA,"KLSPC3","2",NA,13,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,25,27,12,NA,NA,NA,"KLSPC8","2",NA,21.3333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,14,16,NA,NA,NA,"KLSPC9","2",NA,14.3333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,8,11,10,NA,NA,NA,"KLSPE1","2",NA,9.66666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,14,15,NA,NA,NA,"KLSPE10","2",NA,14,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,18,11,10,NA,NA,NA,"KLSPE11","2",NA,13,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,10,11,NA,NA,NA,"KLSPE12","2",NA,12,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,6,10,5,NA,NA,NA,"KLSPE13","2",NA,7,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,14,16,NA,NA,NA,"KLSPE14","2",NA,15,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","MG",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,26,15,15,NA,NA,NA,"KLSPE15","2",NA,18.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,31,24,21,NA,NA,NA,"KLSPE2","2",NA,25.3333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,5,5,NA,NA,NA,NA,"KLSPE4","2",NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,11,9,13,NA,NA,NA,"KLSPE5","2",NA,11,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,15,12,NA,NA,NA,"KLSPE6","2",NA,14.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,7,6,8,NA,NA,NA,"KLSPE7","2",NA,7,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,12,11,10,NA,NA,NA,"KLSPE8","2",NA,11,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CF",2013,"Salix pulchra","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,19,20,23,NA,NA,NA,"KLSPE9","2",NA,20.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,10,9,NA,NA,NA,"KLSRC10","2",NA,9.66666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","LB",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,22,14,15,NA,NA,NA,"KLSRC2","2",NA,17,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,11,15,15,NA,NA,NA,"KLSRC6","2",NA,13.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,13,13,NA,NA,NA,"KLSRE10","2",NA,13.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,15,10,NA,NA,NA,"KLSRE11","2",NA,12.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,15,14,NA,NA,NA,"KLSRE13","2",NA,14,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,16,17,8,NA,NA,NA,"KLSRE14","2",NA,13.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,12,13,14,NA,NA,NA,"KLSRE15","2",NA,13,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","LB",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,12,12,NA,NA,NA,"KLSRE4","2",NA,11.3333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,15,17,NA,NA,NA,"KLSRE6","2",NA,16.3333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,18,15,14,NA,NA,NA,"KLSRE7","2",NA,15.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,14,16,NA,NA,NA,"KLSRE9","2",NA,15,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",5.5,NA,NA,NA,26,21,22,13,6,NA,"H15SP1","1",NA,23,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",5,NA,NA,NA,38,30,25,29,NA,NA,"H15SP10","1",NA,31,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",1.6,NA,NA,NA,26,19,14,11,NA,NA,"H15SP11","1",NA,19.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP12","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",13.8,NA,NA,NA,37,42,44,53,47,10,"H15SP13","1",36.6666666666667,41,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",16.3,NA,NA,NA,48,19,18,19,15,NA,"H15SP14","1",NA,28.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",21.3,NA,NA,NA,31,41,40,46,30,NA,"H15SP15","1",NA,37.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",17.8,NA,NA,NA,33,32,32,16,14,6,"H15SP16","1",12,32.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",19,NA,NA,NA,27,24,16,18,15,8,"H15SP17","1",13.6666666666667,22.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",10.6,NA,NA,NA,46,44,35,40,NA,NA,"H15SP18","1",NA,41.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",5.3,NA,NA,NA,35,27,30,42,NA,NA,"H15SP19","1",NA,30.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",31,NA,NA,NA,17,21,14,23,22,18,"H15SP2","1",21,17.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",3.2,NA,NA,NA,33,NA,NA,29,NA,NA,"H15SP20","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","MG",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP21","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","MG",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP22","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","MG",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",9.5,NA,NA,NA,NA,NA,NA,19,16,NA,"H15SP23","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","MG",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP24","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",3.6,NA,NA,NA,23,21,19,22,NA,NA,"H15SP25","1",NA,21,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP26","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",19,NA,NA,NA,21,17,15,18,13,NA,"H15SP27","1",NA,17.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP28","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",4.3,NA,NA,NA,22,17,21,20,NA,NA,"H15SP29","1",NA,20,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",5.7,NA,NA,NA,24,23,10,23,NA,NA,"H15SP29","1",NA,19,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP3","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP30","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP4","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",1,NA,NA,NA,11,NA,NA,16,NA,NA,"H15SP5","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP6","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP7","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",17,NA,NA,NA,30,28,21,11,9,12,"H15SP8","1",10.6666666666667,26.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",31.3,NA,NA,NA,33,36,42,27,9,NA,"H15SP9","1",NA,37,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"H15SR1","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR10","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR11","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR12","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR13","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR14","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR15","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR16","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR17","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR18","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",5.4,NA,NA,NA,29,31,10,15,NA,NA,"H15SR19","1",NA,23.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR2","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",5.4,NA,NA,NA,21,25,19,7,NA,NA,"H15SR20","1",NA,21.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","IR",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR21","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","IR",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR22","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","IR",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR23","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","IR",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR24","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","AC",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR25","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","AC",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR28","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",1.7,NA,NA,NA,11,16,NA,14,NA,NA,"H15SR3","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","AC",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR30","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR4","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR5","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR6","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR7","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR8","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR9","1",NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","MG",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",26.6,NA,NA,NA,45,39,48,39,30,36,"HESP11","3",35,44,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","CF",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",13.5,NA,NA,NA,59,53,64,37,45,50,"HESP12","3",44,58.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA
