"","...1","X.2","X.1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","...31","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","cover","cover_percent","biomass_per_m2","biomass_error_high","biomass_error_low"
"46",2850,2850,2183,2183,"GD",2016,"Salix richardsonii","Common_garden",NA,8,9,"2021",44,53,36,16,42,49,41,40,52,38,"KP16SR52",83952,5,43.3333333333333,44,44.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1908,19.08,1019.052,1042.152,995.952
"47",2851,2851,2184,2184,"GD",2016,"Salix richardsonii","Common_garden",NA,8,9,"2021",14.5,26.5,25,12,37,36,32,36,19,32,"KP16SR53",9606.25,5,29,35,25.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06625,6.625,339.8375,362.9375,316.7375
"48",2852,2852,2185,2185,"EW",2016,"Salix richardsonii","Common_garden",NA,8,11,"2021",56.5,37.4,51.9,21,36,42,40,45,57,178,"KP16SR57",109669.89,5,93.3333333333333,39.3333333333333,44.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194106,19.4106,1247.98614,1271.08614,1224.88614
"49",2853,2853,2186,2186,"EW",2016,"Salix richardsonii","Common_garden",NA,8,11,"2021",26.4,40.5,23.7,19,41,44,42,68,88,115,"KP16SR58",25340.04,5,90.3333333333333,42.3333333333333,32.1,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095985,9.5985,589.42215,612.52215,566.32215
"50",2854,2854,2187,2187,"EW",2016,"Salix richardsonii","Common_garden",NA,8,11,"2021",37.8,26,22.5,14,51,48,45,82,55,14,"KP16SR60",22113,5,50.3333333333333,48,24.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0585,5.85,750.015,773.115,726.915
"51",2864,2864,2197,2197,"LB",2017,"Salix richardsonii","Common_garden",NA,8,9,"2021",22.5,33,18,27,42,44,40,37,17,35,"KP17SR1",13365,4,29.6666666666667,42,25.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0594,5.94,475.686,498.786,452.586
"52",2865,2865,2198,2198,"LB",2017,"Salix richardsonii","Common_garden",NA,8,9,"2021",26,27.5,17.5,14,31,35,34,40,25,62,"KP17SR2",12512.5,4,42.3333333333333,33.3333333333333,22.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048125,4.8125,525.26875,548.36875,502.16875
"53",2866,2866,2199,2199,"LB",2017,"Salix richardsonii","Common_garden",NA,8,9,"2021",38,40,29,11,43,42,41,70,30,45,"KP17SR3",44080,4,48.3333333333333,42,34.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116,11.6,822.04,845.14,798.94
"54",2867,2867,2200,2200,"LB",2017,"Salix richardsonii","Common_garden",NA,8,9,"2021",27,39,19,16,32,35,33,27,36,32,"KP17SR4",20007,4,31.6666666666667,33.3333333333333,29,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0741,7.41,574.179,597.279,551.079
"55",2880,2880,2213,2213,"CF",2013,"Salix richardsonii","Common_garden",NA,8,11,"2021",54,89,49,36,42,44,48,54,42,66,"KPSR5",235494,8,54,44.6666666666667,69,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4361,43.61,1490.959,1514.059,1467.859
"56",2898,2898,2231,2231,"LB",2017,"Salix richardsonii","Common_garden",NA,8,9,"2021",16,25,18,13,35,36,30,94,42,25,"PC17SR1",7200,4,53.6666666666667,33.6666666666667,21.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,4.5,341.55,364.65,318.45
"57",2899,2899,2232,2232,"SW",2017,"Salix richardsonii","Common_garden",NA,8,11,"2021",31,33,19.5,12,36,41,33,47,75,52,"PC17SR10",19948.5,4,58,36.6666666666667,26.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06435,6.435,634.5765,657.6765,611.4765
"58",2900,2900,2233,2233,"IR",2017,"Salix richardsonii","Common_garden",NA,8,11,"2021",10.2,9.9,5.5,9,29,31,28,25,23,NA,"PC17SR12",555.39,4,NA,29.3333333333333,7.7,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005445,0.5445,190.07955,213.17955,166.97955
"59",2901,2901,2234,2234,"IR",2017,"Salix richardsonii","Common_garden",NA,8,11,"2021",13.4,18.1,12.5,13,31,29,26,12,9,33,"PC17SR13",3031.75,4,18,28.6666666666667,15.3,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022625,2.2625,268.12375,291.22375,245.02375
"60",2902,2902,2235,2235,"LB",2017,"Salix richardsonii","Common_garden",NA,8,9,"2021",31.8,19.5,21,12,35,38,41,25,28,27,"PC17SR2",13022.1,4,26.6666666666667,38,20.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04095,4.095,621.1305,644.2305,598.0305
"61",2903,2903,2236,2236,"GD",2017,"Salix richardsonii","Common_garden",NA,8,9,"2021",64,34,23.5,12,39,43,39,47,83,42,"PC17SR4",51136,4,57.3333333333333,40.3333333333333,28.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0799,7.99,1247.081,1270.181,1223.981
"62",2904,2904,2237,2237,"GD",2017,"Salix richardsonii","Common_garden",NA,8,9,"2021",93,44,32,21,51,46,47,72,112,21,"PC17SR5",130944,4,68.3333333333333,48,38,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1408,14.08,1841.552,1864.652,1818.452
"63",2905,2905,2238,2238,"GD",2017,"Salix richardsonii","Common_garden",NA,8,9,"2021",39,38,37,13,36,38,39,86,46,50,"PC17SR6",54834,4,60.6666666666667,37.6666666666667,37.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1406,14.06,869.314,892.414,846.214
"64",2906,2906,2239,2239,"SW",2017,"Salix richardsonii","Common_garden",NA,8,11,"2021",18,14,9.5,12,36,35,39,51,64,10,"PC17SR9",2394,4,41.6666666666667,36.6666666666667,11.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0133,1.33,339.827,362.927,316.727
"65",2912,2912,2245,2245,"EW",2017,"Salix richardsonii","Common_garden",NA,8,11,"2021",41.6,33.5,35.8,12,42,40,42,147,78,36,"PP17SR16",49890.88,4,87,41.3333333333333,34.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11993,11.993,891.5167,914.6167,868.4167
"66",2913,2913,2246,2246,"EW",2017,"Salix richardsonii","Common_garden",NA,8,11,"2021",31.8,21.5,23,10,41,39,42,94,47,56,"PP17SR19",15725.1,4,65.6666666666667,40.6666666666667,22.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04945,4.945,631.2455,654.3455,608.1455
"67",2914,2914,2247,2247,"EW",2017,"Salix richardsonii","Common_garden",NA,8,11,"2021",36.4,51.2,39.5,9,36,39,44,231,59,55,"PP17SR20",73615.36,4,115,39.6666666666667,45.35,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20224,20.224,895.8656,918.9656,872.7656
"68",2945,2945,2945,2945,"LB",2016,"Salix richardsonii","Common_garden",NA,8,17,"2022",29,31,34,12,33,30,37,110,90,120,"KP16SR41",30566,6,106.666666666667,33.3333333333333,32.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1054,10.54,647.426,670.526,624.326
"69",2952,2952,2952,2952,"LB",2017,"Salix richardsonii","Common_garden",NA,8,17,"2022",27,36,42,23,45,46,41,90,50,85,"KP17SR1",40824,5,75,44,39,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1512,15.12,665.928,689.028,642.828
"70",2953,2953,2953,2953,"LB",2017,"Salix richardsonii","Common_garden",NA,8,17,"2022",34.5,25,34,16,20,17,17,40,25,49,"KP17SR2",29325,5,38,18,29.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,8.5,722.15,745.25,699.05
"71",2954,2954,2954,2954,"LB",2017,"Salix richardsonii","Common_garden",NA,8,17,"2022",34.5,40,45,17,31,29,29,45,23,21,"KP17SR3",62100,5,29.6666666666667,29.6666666666667,42.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,18,835.2,858.3,812.1
"72",2955,2955,2955,2955,"LB",2017,"Salix richardsonii","Common_garden",NA,8,17,"2022",27,28,36,20,24,23,24,26,32,18,"KP17SR4",27216,5,25.3333333333333,23.6666666666667,32,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1008,10.08,605.952,629.052,582.852
"73",2956,2956,2956,2956,"LB",2017,"Salix richardsonii","Common_garden",NA,8,17,"2022",13,31,11.5,12,35,22,30,25,16,9,"K17SR6",4634.5,5,16.6666666666667,29,21.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03565,3.565,276.4235,299.5235,253.3235
"74",2960,2960,2960,2960,"LB",2017,"Salix richardsonii","Common_garden",NA,8,17,"2022",40,30.5,40,12,28,50,33,330,110,180,"PC17SR1",48800,5,206.666666666667,37,35.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122,12.2,865.18,888.28,842.08
"75",2961,2961,2961,2961,"LB",2017,"Salix richardsonii","Common_garden",NA,8,17,"2022",35,24,22,15,39,31,38,60,35,30,"PC17SR2",18480,5,41.6666666666667,36,23,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0528,5.28,692.832,715.932,669.732
