"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","2022 Notes","mean_stem_elong","mean_leaf_length","mean_width"
"149","SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk",2022-07-17,7,17,2022,6.5,5.9,9.5,11,5,3,NA,18,20,17,NA,NA,18.3333333333333,7.7
"150","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk",2022-07-17,7,17,2022,14.3,26,19.5,21,14,5,NA,23,21,18,NA,NA,20.6666666666667,22.75
"151","SW","KLSrE6",2013,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,82.2,119,93,55,54,30,38,45,45,44,NA,40.6666666666667,44.6666666666667,106
"152","CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","CF","KLSpE8",2013,"Salix pulchra","Kluane",2022-07-17,7,17,2022,36,104,26,57,17,43,53,38,43,41,NA,37.6666666666667,40.6666666666667,65
"154","CF","H17SP9",2017,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,20,16,18,10,27,26,23,28,24,24,NA,25.3333333333333,25.3333333333333,17
"155","JA","K17Sa5",2017,"Salix arctica","Kluane",2022-07-17,7,17,2022,3.8,8,7,7,7,4,NA,28,23,18,NA,NA,23,7.5
"156","JA","KP17Sa4",2017,"Salix arctica","Kluane",2022-07-17,7,17,2022,2.5,9.5,6,12,8,6,NA,25,20,25,NA,NA,23.3333333333333,7.75
"157","JA","PC16CESa2",2016,"Salix arctica","Kluane",2022-07-17,7,17,2022,9,34,31,9,44,21,22,76,71,60,NA,29,69,32.5
"158","JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk",2022-07-17,7,17,2022,9,24,27,8,25,29,36,30,33,28,NA,30,30.3333333333333,25.5
"159","JA","PC17Sa7",2017,"Salix arctica","Kluane",2022-07-17,7,17,2022,7,24,24,9,17,18,30,39,47,38,NA,21.6666666666667,41.3333333333333,24
"160","JA","KP18Sa4",2018,"Salix arctica","Kluane",2022-07-17,7,17,2022,4.5,13,9.5,10,12,8,10,32,44,36,NA,10,37.3333333333333,11.25
"161","JG","HE16Sp17",2016,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,7,12,13.1,8,8,15,13,22,17,24,NA,12,21,12.55
"162","JG","H18Sp18",2018,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,4,3.5,3,5,NA,NA,NA,15,15,13,NA,NA,14.3333333333333,3.25
"163","JG","KP18Sp4",2018,"Salix pulchra","Kluane",2022-07-17,7,17,2022,27.2,25,39.5,13,113,134,35,32,37,43,NA,94,37.3333333333333,32.25
"164","JG","KP18Sp2",2018,"Salix pulchra","Kluane",2022-07-17,7,17,2022,61.5,58.5,55,20,180,420,410,52,32,24,NA,336.666666666667,36,56.75
"165","JG","KP18Sp1",2018,"Salix pulchra","Kluane",2022-07-17,7,17,2022,28.1,46.4,43.5,18,165,27,110,46,23,32,NA,100.666666666667,33.6666666666667,44.95
"166","JG","H18Sp16",2018,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,11.5,6,8.5,4,NA,NA,NA,29,22,15,NA,NA,22,7.25
"167","MG","KLSpE11",2013,"Salix pulchra","Kluane",2022-07-17,7,17,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","MG","KLSpE12",2013,"Salix pulchra","Kluane",2022-07-17,7,17,2022,40,97,50,19,140,30,50,35,31,36,NA,73.3333333333333,34,73.5
"169","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,7,6,8,9,10,NA,NA,24,16,12,NA,NA,17.3333333333333,7
"170","IR","KLSrC10",2013,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,108,164,145,85,35,70,40,39,43,48,NA,48.3333333333333,43.3333333333333,154.5
"171","IR","KLSrE14",2013,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,42,96,52,29,10,21,27,36,41,39,NA,19.3333333333333,38.6666666666667,74
"172","IR","KLSrE15",2013,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,79,161,105,29,83,62,138,48,43,38,NA,94.3333333333333,43,133
"173","SAB","HE16Sa14",2016,"Salix arctica","Qikiqtaruk",2022-07-17,7,17,2022,5.5,22,17,15,37,19,7,25,26,21,NA,21,24,19.5
"174","SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk",2022-07-17,7,17,2022,9,18,11,7,25,9,25,44,25,34,NA,19.6666666666667,34.3333333333333,14.5
"175","SAB","KP17Sa6",2017,"Salix arctica","Kluane",2022-07-17,7,17,2022,4,18,16,10,17,15,10,46,45,47,NA,14,46,17
"176","SAB","HE16Sa6",2016,"Salix arctica","Qikiqtaruk",2022-07-17,7,17,2022,3.5,8,7.5,5,4,6,8,24,26,24,NA,6,24.6666666666667,7.75
"177","SAB","HE16Sa7",2016,"Salix arctica","Qikiqtaruk",2022-07-17,7,17,2022,4,23,13,8,24,7,9,31,26,31,NA,13.3333333333333,29.3333333333333,18
"178","SAB","H18Sa8",2018,"Salix arctica","Qikiqtaruk",2022-07-17,7,17,2022,6,14.5,12,7,16,8,12,30,35,21,NA,12,28.6666666666667,13.25
"179","AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk",2022-07-17,7,17,2022,6.5,9.5,6,4,7,3,4,17,25,21,NA,4.66666666666667,21,7.75
"180","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk",2022-07-17,7,17,2022,8.4,12,11.5,13,11,8,14,19,18,25,NA,11,20.6666666666667,11.75
"181","AC","KLSrC13",2013,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,83.5,132.5,146,68,100,120,150,58,44,59,NA,123.333333333333,53.6666666666667,139.25
"182","AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,7.5,14.5,10.5,12,8,7,10,26,21,15,NA,8.33333333333333,20.6666666666667,12.5
"183","AB","PC16CESp7",2016,"Salix pulchra","Kluane",2022-07-17,7,17,2022,35,59.5,74,18.5,105,95,255,46,57,37,NA,151.666666666667,46.6666666666667,66.75
"184","AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,7,18.5,19.2,15,13,9,6,21,21,13,NA,9.33333333333333,18.3333333333333,18.85
"185","AB","HESp29",2013,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,9.5,20.5,18.5,15,25,50,10,27,49,29,NA,28.3333333333333,35,19.5
"186","AB","H17Sp18",2017,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,13,13.5,12,8,4,4,3,21,20,17,NA,3.66666666666667,19.3333333333333,12.75
"188","AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,7.5,13.5,11,9,12,6,11,11,20,18,NA,9.66666666666667,16.3333333333333,12.25
"189","JB","H15Sa12",2015,"Salix arctica","Qikiqtaruk",2022-07-17,7,17,2022,5.5,20,14,9,18,14,13,30,44,25,NA,15,33,17
"190","JB","K15PSa9",2015,"Salix arctica","Kluane",2022-07-17,7,17,2022,9,36,36,19,15,28,14,84,79,67,NA,19,76.6666666666667,36
"191","JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk",2022-07-17,7,17,2022,6,30,20,14,9,25,14,44,46,41,NA,16,43.6666666666667,25
"192","JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk",2022-07-17,7,17,2022,5,19,12,9,12,9,7,24,21,26,NA,9.33333333333333,23.6666666666667,15.5
"193","JB","H15Sa10",2015,"Salix arctica","Qikiqtaruk",2022-07-17,7,17,2022,6.5,33,30.5,7,10,9,9,37,29,39,NA,9.33333333333333,35,31.75
"194","JB","K15PSa15",2015,"Salix arctica","Kluane",2022-07-17,7,17,2022,6,20.5,18,9,21,16,21,44,43,43,NA,19.3333333333333,43.3333333333333,19.25
"195","JB","K15PSa12",2015,"Salix arctica","Kluane",2022-07-17,7,17,2022,5,27.5,29.5,13,6,7,9,50,51,40,NA,7.33333333333333,47,28.5
"196","EW","KP16Sr60",2016,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,50,39,40,19,190,125,90,32,27,43,NA,135,34,39.5
"197","EW","KP16Sr58",2016,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,42,69,48,24,240,220,185,31,31,46,NA,215,36,58.5
"198","EW","KP16Sr57",2016,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,70,79,60,39,320,160,210,41,39,36,NA,230,38.6666666666667,69.5
"199","EW","H17Sr37",2017,"Salix richardsonii","Qikiqtaruk",2022-07-17,7,17,2022,7.5,12,10.5,9,10,20,9,24,24,20,NA,13,22.6666666666667,11.25
"200","EW","KP18Sa8",2018,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,10,23,14,7,24,21,23,20,15,21,NA,22.6666666666667,18.6666666666667,18.5
"201","EW","H18Sr27",2018,"Salix richardsonii","Qikiqtaruk",2022-07-17,7,17,2022,20,18,11,9,15,21,62,33,29,30,NA,32.6666666666667,30.6666666666667,14.5
"202","IMS","KLSpE2",2013,"Salix pulchra","Kluane",2022-07-23,7,23,2022,33,132.5,93,52,36,22,55,31,36,40,NA,37.6666666666667,35.6666666666667,112.75
"203","IMS","KLSpE3",2013,"Salix pulchra","Kluane",2022-07-23,7,23,2022,9.6,10.3,8.9,6,14,10,NA,24,26,29,NA,NA,26.3333333333333,9.6
"204","IMS","KLSpE4",2013,"Salix pulchra","Kluane",2022-07-23,7,23,2022,25,75,86,58,30,7,20,24,36,22,NA,19,27.3333333333333,80.5
"205","LB","KP16Sr41",2016,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,29,23,22,11,59,99,42,37,24,35,NA,66.6666666666667,32,22.5
"206","LB","KLSrE4",2013,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,107,235,210,102,140,150,90,45,44,52,NA,126.666666666667,47,222.5
"207","LB","KP17Sr2",2017,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,24,33,28,15,43,62,28,37,27,37,NA,44.3333333333333,33.6666666666667,30.5
"208","LB","H17Sr4",2017,"Salix richardsonii","Qikiqtaruk",2022-07-23,7,23,2022,5.5,16,6,13,9,7,7,22,19,28,NA,7.66666666666667,23,11
"209","SL","PC17Sp1",2017,"Salix pulchra","Kluane",2022-07-23,7,23,2022,24,47,38,28,85,130,330,65,40,37,NA,181.666666666667,47.3333333333333,42.5
"210","SL","KP17Sp5",2017,"Salix pulchra","Kluane",2022-07-23,7,23,2022,35,56,33,20,260,43,22,41,39,28,NA,108.333333333333,36,44.5
"211","SL","H18Sp15",2018,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","GD","KP16Sr37",2016,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,74,69,67,30,200,130,160,36,40,42,NA,163.333333333333,39.3333333333333,68
"213","GD","H17Sr9",2017,"Salix richardsonii","Qikiqtaruk",2022-07-23,7,23,2022,19,30,30,15,40,32,31,28,32,19,NA,34.3333333333333,26.3333333333333,30
"214","GD","H18Sr8",2018,"Salix richardsonii","Qikiqtaruk",2022-07-23,7,23,2022,5.5,14,13.5,7,8,10,5,22,20,25,NA,7.66666666666667,22.3333333333333,13.75
"215","SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk",2022-07-23,7,23,2022,7.5,16,12,10,6,12,6,20,16,23,NA,8,19.6666666666667,14
"216","SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk",2022-07-23,7,23,2022,3,9,4,13,8,5,NA,19,24,17,NA,NA,20,6.5
"217","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk",2022-07-23,7,23,2022,12,24,19,23,18,8,6,23,20,20,NA,10.6666666666667,21,21.5
"218","SW","KLSrE6",2013,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,79,112,97,46,20,117,51,44,41,42,NA,62.6666666666667,42.3333333333333,104.5
"219","CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","CF","KLSpE8",2013,"Salix pulchra","Kluane",2022-07-23,7,23,2022,13,110,26,39,40,73,20,37,33,38,NA,44.3333333333333,36,68
"221","CF","H17SP9",2017,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,16,16,15,10,24,17,15,20,23,22,NA,18.6666666666667,21.6666666666667,15.5
"222","JA","K17Sa5",2017,"Salix arctica","Kluane",2022-07-23,7,23,2022,3.5,8,7.9,7,4,3,3,27,24,28,"7",3.33333333333333,26.3333333333333,7.95
"223","JA","KP17Sa4",2017,"Salix arctica","Kluane",2022-07-23,7,23,2022,2.5,10.5,7,8,4,8,11,21,23,24,"8",7.66666666666667,22.6666666666667,8.75
"224","JA","PC16CESa2",2016,"Salix arctica","Kluane",2022-07-23,7,23,2022,9.1,32.5,31,8,51,18,23,71,79,58,"8",30.6666666666667,69.3333333333333,31.75
"225","JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk",2022-07-23,7,23,2022,9.1,27.5,26,7,21,53,37,31,25,27,"7",37,27.6666666666667,26.75
"226","JA","PC17Sa7",2017,"Salix arctica","Kluane",2022-07-23,7,23,2022,6.1,24,24.1,11,19,23,16,38,39,34,"11",19.3333333333333,37,24.05
"227","JA","KP18Sa4",2018,"Salix arctica","Kluane",2022-07-23,7,23,2022,4.5,13.2,10.5,10,14,10,8,40,32,19,"10",10.6666666666667,30.3333333333333,11.85
"228","JG","HE16Sp17",2016,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,5.5,14.5,10.4,9,15,13,27,24,19,25,NA,18.3333333333333,22.6666666666667,12.45
"229","JG","H18Sp18",2018,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,3,2.9,3,4,8,NA,NA,11,16,16,NA,NA,14.3333333333333,2.95
"230","JG","KP18Sp4",2018,"Salix pulchra","Kluane",2022-07-23,7,23,2022,4.5,13.2,10.5,10,14,10,8,40,32,19,"10",10.6666666666667,30.3333333333333,11.85
"231","JG","KP18Sp2",2018,"Salix pulchra","Kluane",2022-07-23,7,23,2022,4.5,13,9.5,12,6,9,8,21,25,11,"12",7.66666666666667,19,11.25
"232","JG","KP18Sp1",2018,"Salix pulchra","Kluane",2022-07-23,7,23,2022,24.8,44,37.5,12,170,57,94,40,32,24,NA,107,32,40.75
"233","JG","H18Sp16",2018,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,9,7,6.5,4,10,7,NA,31,14,24,NA,NA,23,6.75
"234","MG","KLSpE11",2013,"Salix pulchra","Kluane",2022-07-23,7,23,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","MG","KLSpE12",2013,"Salix pulchra","Kluane",2022-07-23,7,23,2022,37.5,101,55.5,15,22,201,250,40,31,32,NA,157.666666666667,34.3333333333333,78.25
"236","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,5,9,6.5,9,5,5,2,11,12,14,NA,4,12.3333333333333,7.75
"237","IR","KLSrC10",2013,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,113.5,171,121,100,95,100,50,44,49,39,NA,81.6666666666667,44,146
"238","IR","KLSrE14",2013,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,38,97,60,30,63,47,25,52,47,39,NA,45,46,78.5
"239","IR","KLSrE15",2013,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,82.5,150,82,29,160,140,190,43,39,45,NA,163.333333333333,42.3333333333333,116
"240","SAB","HE16Sa14",2016,"Salix arctica","Qikiqtaruk",2022-07-23,7,23,2022,4.9,22,18,13,11,12,20,18,26,19,NA,14.3333333333333,21,20
"241","SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk",2022-07-23,7,23,2022,6.8,19,14,9,38,13,14,35,38,23,NA,21.6666666666667,32,16.5
"242","SAB","KP17Sa6",2017,"Salix arctica","Kluane",2022-07-23,7,23,2022,4,19.9,16,7,10,15,10,38,36,44,NA,11.6666666666667,39.3333333333333,17.95
"243","SAB","HE16Sa6",2016,"Salix arctica","Qikiqtaruk",2022-07-23,7,23,2022,2.5,7.5,8,5,7,6,11,23,22,14,NA,8,19.6666666666667,7.75
"244","SAB","HE16Sa7",2016,"Salix arctica","Qikiqtaruk",2022-07-23,7,23,2022,4,23.5,15.5,9,12,27,17,26,33,34,NA,18.6666666666667,31,19.5
"245","SAB","H18Sa8",2018,"Salix arctica","Qikiqtaruk",2022-07-23,7,23,2022,4.3,14,15,10,23,7,24,29,31,33,NA,18,31,14.5
"246","AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk",2022-07-23,7,23,2022,6.4,9,6.5,5,11,16,20,26,20,21,NA,15.6666666666667,22.3333333333333,7.75
"247","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk",2022-07-23,7,23,2022,6.5,10.4,10.6,6,50,18,14,21,23,24,NA,27.3333333333333,22.6666666666667,10.5
"248","AC","KLSrC13",2013,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,83.5,135,137,145,190,210,110,75,50,65,NA,170,63.3333333333333,136
"249","AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,7,17.3,11.5,18,22,30,20,25,23,21,NA,24,23,14.4
"250","AB","PC16CESp7",2016,"Salix pulchra","Kluane",2022-07-23,7,23,2022,55,76,65,20,260,260,255,57,64,58,NA,258.333333333333,59.6666666666667,70.5
"251","AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,6.5,19,18.5,12,7,41,26,21,18,15,NA,24.6666666666667,18,18.75
"252","AB","HESp29",2013,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,10,21,19,16,27,52,32,29,27,30,NA,37,28.6666666666667,20
"253","AB","H17Sp18",2017,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,4.5,11,9.9,9,7,18,18,20,19,23,NA,14.3333333333333,20.6666666666667,10.45
"254","AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,11,12.5,12,8,37,18,26,19,20,22,NA,27,20.3333333333333,12.25
"255","AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk",2022-07-23,7,23,2022,5.2,13.5,11,8,39,35,23,24,22,13,NA,32.3333333333333,19.6666666666667,12.25
"256","JB","H15Sa12",2015,"Salix arctica","Qikiqtaruk",2022-07-23,7,23,2022,4.5,20.5,16,8,10,20,16,23,27,40,NA,15.3333333333333,30,18.25
"257","JB","K15PSa9",2015,"Salix arctica","Kluane",2022-07-23,7,23,2022,6.5,37.9,35.5,15,19,23,9,85,81,78,NA,17,81.3333333333333,36.7
"258","JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk",2022-07-23,7,23,2022,4.9,29.5,27,12,11,58,24,65,47,40,NA,31,50.6666666666667,28.25
"259","JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk",2022-07-23,7,23,2022,4,19,13,10,10,6,6,38,21,16,NA,7.33333333333333,25,16
"260","JB","H15Sa10",2015,"Salix arctica","Qikiqtaruk",2022-07-23,7,23,2022,7,33,32,12,8,24,22,29,39,37,NA,18,35,32.5
"261","JB","K15PSa15",2015,"Salix arctica","Kluane",2022-07-23,7,23,2022,6,17.5,20.5,10,9,12,13,38,30,43,NA,11.3333333333333,37,19
"262","JB","K15PSa12",2015,"Salix arctica","Kluane",2022-07-23,7,23,2022,5,30,27,12,15,17,10,53,50,31,NA,14,44.6666666666667,28.5
"263","EW","KP16Sr60",2016,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,54.5,44,33,21,170,100,100,39,43,47,NA,123.333333333333,43,38.5
"264","EW","KP16Sr58",2016,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,43,53,69,27,230,220,240,40,31,25,NA,230,32,61
"265","EW","KP16Sr57",2016,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,74.5,79.5,56,39,220,90,270,48,47,30,NA,193.333333333333,41.6666666666667,67.75
"266","EW","H17Sr37",2017,"Salix richardsonii","Qikiqtaruk",2022-07-23,7,23,2022,6.5,12,10.5,9,9,8,11,25,15,22,NA,9.33333333333333,20.6666666666667,11.25
"267","EW","KP18Sa8",2018,"Salix richardsonii","Kluane",2022-07-23,7,23,2022,8.3,23,19,6,25,14,21,21,23,16,NA,20,20,21
"268","EW","H18Sr27",2018,"Salix richardsonii","Qikiqtaruk",2022-07-23,7,23,2022,7.5,19,13,8,14,23,35,31,30,30,NA,24,30.3333333333333,16
"269","IMS","KLSpE2",2013,"Salix pulchra","Kluane",2022-07-31,7,31,2022,34,132,69.5,55,57,290,115,30,37,43,NA,154,36.6666666666667,100.75
"270","IMS","KLSpE3",2013,"Salix pulchra","Kluane",2022-07-31,7,31,2022,9.5,10,7.5,8,13,6,7,25,23,26,NA,8.66666666666667,24.6666666666667,8.75
"271","IMS","KLSpE4",2013,"Salix pulchra","Kluane",2022-07-31,7,31,2022,46.5,85,77,27,20,16,13,26,29,39,NA,16.3333333333333,31.3333333333333,81
"272","LB","KP16Sr41",2016,"Salix richardsonii","Kluane",2022-07-31,7,31,2022,29,29.5,23.5,18,68,91,44,41,33,37,NA,67.6666666666667,37,26.5
"273","LB","KLSrE4",2013,"Salix richardsonii","Kluane",2022-07-31,7,31,2022,125,244,246,97,63,76,170,52,31,49,NA,103,44,245
"274","LB","KP17Sr2",2017,"Salix richardsonii","Kluane",2022-07-31,7,31,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","LB","H17Sr4",2017,"Salix richardsonii","Qikiqtaruk",2022-07-31,7,31,2022,5,16.3,6.5,12,13,18,16,28,22,21,NA,15.6666666666667,23.6666666666667,11.4
"276","SL","PC17Sp1",2017,"Salix pulchra","Kluane",2022-07-31,7,31,2022,26,52.5,39.5,8,400,220,180,59,54,59,NA,266.666666666667,57.3333333333333,46
"277","SL","KP17Sp5",2017,"Salix pulchra","Kluane",2022-07-31,7,31,2022,30.5,56.5,34,14,250,38,160,40,39,41,NA,149.333333333333,40,45.25
"278","SL","H18Sp15",2018,"Salix pulchra","Qikiqtaruk",2022-07-31,7,31,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","GD","KP16Sr37",2016,"Salix richardsonii","Kluane",2022-07-31,7,31,2022,82,71,75,31,180,105,130,37,39,42,NA,138.333333333333,39.3333333333333,73
"280","GD","H17Sr9",2017,"Salix richardsonii","Qikiqtaruk",2022-07-31,7,31,2022,17.5,31.5,32,12,22,31,34,28,31,29,NA,29,29.3333333333333,31.75
"281","GD","H18Sr8",2018,"Salix richardsonii","Qikiqtaruk",2022-07-31,7,31,2022,3.9,14,14.5,7,17,11,15,23,16,20,NA,14.3333333333333,19.6666666666667,14.25
"282","SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk",2022-07-31,7,31,2022,7.1,13.5,15.5,12,30,11,7,21,19,20,NA,16,20,14.5
"283","SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk",2022-07-31,7,31,2022,2.5,6,6.5,10,NA,NA,NA,24,14,21,NA,NA,19.6666666666667,6.25
"284","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk",2022-07-31,7,31,2022,13,21.5,22.5,19,22,18,10,24,22,21,NA,16.6666666666667,22.3333333333333,22
"285","SW","KLSrE6",2013,"Salix richardsonii","Kluane",2022-07-31,7,31,2022,82,102,109,52,75,60,80,51,38,45,NA,71.6666666666667,44.6666666666667,105.5
"286","CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk",2022-07-31,7,31,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","CF","KLSpE8",2013,"Salix pulchra","Kluane",2022-07-31,7,31,2022,18.5,111,35,54,44,72,22,37,35,32,NA,46,34.6666666666667,73
"288","CF","H17SP9",2017,"Salix pulchra","Qikiqtaruk",2022-07-31,7,31,2022,13,19.5,15.5,10,22,23,22,23,31,21,NA,22.3333333333333,25,17.5
"289","JA","K17Sa5",2017,"Salix arctica","Kluane",2022-07-31,7,31,2022,2.9,8.5,7.5,6,4,5,4,28,21,20,NA,4.33333333333333,23,8
"290","JA","KP17Sa4",2017,"Salix arctica","Kluane",2022-07-31,7,31,2022,2.5,10,7,6,5,7,NA,26,21,21,NA,NA,22.6666666666667,8.5
"291","JA","PC16CESa2",2016,"Salix arctica","Kluane",2022-07-31,7,31,2022,8,31.5,37,10,26,36,35,55,66,55,NA,32.3333333333333,58.6666666666667,34.25
"292","JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk",2022-07-31,7,31,2022,10.5,27.2,26,14,91,34,65,33,29,23,NA,63.3333333333333,28.3333333333333,26.6
"293","JA","PC17Sa7",2017,"Salix arctica","Kluane",2022-07-31,7,31,2022,6.5,27.5,26.5,10,32,28,14,35,37,44,NA,24.6666666666667,38.6666666666667,27
"294","JA","KP18Sa4",2018,"Salix arctica","Kluane",2022-07-31,7,31,2022,3.5,9.9,13,9,19,12,10,40,37,31,NA,13.6666666666667,36,11.45
"295","JG","HE16Sp17",2016,"Salix pulchra","Qikiqtaruk",2022-07-31,7,31,2022,6,14.5,11,9,20,13,24,15,22,21,NA,19,19.3333333333333,12.75
"296","JG","H18Sp18",2018,"Salix pulchra","Qikiqtaruk",2022-07-31,7,31,2022,3.5,3.6,3.1,4,NA,NA,NA,13,12,12,NA,NA,12.3333333333333,3.35
"297","JG","KP18Sp4",2018,"Salix pulchra","Kluane",2022-07-31,7,31,2022,26,30.5,35.5,10,200,200,160,50,36,NA,NA,186.666666666667,NA,33
"298","JG","KP18Sp2",2018,"Salix pulchra","Kluane",2022-07-31,7,31,2022,67,65.5,61,20,480,330,430,45,52,48,NA,413.333333333333,48.3333333333333,63.25
"299","JG","KP18Sp1",2018,"Salix pulchra","Kluane",2022-07-31,7,31,2022,26.5,42.5,48,20,185,60,100,40,35,39,NA,115,38,45.25
"300","JG","H18Sp16",2018,"Salix pulchra","Qikiqtaruk",2022-07-31,7,31,2022,11.5,6.5,9.5,5,10,9,NA,21,22,26,NA,NA,23,8
"301","MG","KLSpE11",2013,"Salix pulchra","Kluane",2022-07-31,7,31,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","MG","KLSpE12",2013,"Salix pulchra","Kluane",2022-07-31,7,31,2022,30,96,62,43,240,16,46,27,46,31,NA,100.666666666667,34.6666666666667,79
"303","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk",2022-07-31,7,31,2022,4,6.5,4.5,9,6,4,NA,18,22,16,"Bottom leaves gone",NA,18.6666666666667,5.5
"304","IR","KLSrC10",2013,"Salix richardsonii","Kluane",2022-07-31,7,31,2022,105,164,166,82,65,60,70,44,49,36,NA,65,43,165
"305","IR","KLSrE14",2013,"Salix richardsonii","Kluane",2022-07-31,7,31,2022,26,99,33,33,12,13,15,37,47,39,NA,13.3333333333333,41,66
"306","IR","KLSrE15",2013,"Salix richardsonii","Kluane",2022-07-31,7,31,2022,90,157,78,36,150,130,80,48,40,51,NA,120,46.3333333333333,117.5
