"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","2022 Notes","mean_stem_elong","mean_leaf_length","mean_width"
"35","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,6.5,9,7.2,8,12,27,13,19,16,10,NA,17.3333333333333,15,8.1
"36","IR","KLSrC10",2013,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,116.8,170,131,105,81,37,83,40,43,39,NA,67,40.6666666666667,150.5
"37","IR","KLSrE14",2013,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,36,96,66.2,30,16,112,32,44,24,37,NA,53.3333333333333,35,81.1
"38","IR","KLSrE15",2013,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,82,155,82,31,29,140,72,34,45,40,NA,80.3333333333333,39.6666666666667,118.5
"39","SAB","HE16Sa14",2016,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,6.5,22,17.3,11,15,17,49,19,18,20,NA,27,19,19.65
"40","SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,9,17.5,14,9,42,13,39,24,29,33,NA,31.3333333333333,28.6666666666667,15.75
"41","SAB","KP17Sa6",2017,"Salix arctica","Kluane",2022-07-03,7,3,2022,5.9,18.5,18.5,6,12,13,11,47,37,25,NA,12,36.3333333333333,18.5
"42","SAB","HE16Sa6",2016,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,2.5,8,7,6,9,10,11,24,17,19,NA,10,20,7.5
"43","SAB","HE16Sa7",2016,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,4.5,22.5,14.6,10,30,32,29,28,21,43,NA,30.3333333333333,30.6666666666667,18.55
"44","SAB","H18Sa8",2018,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,6,14,13.6,11,33,22,35,34,29,16,NA,30,26.3333333333333,13.8
"45","AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,7.4,9,5,12,6,NA,NA,19,15,17,NA,NA,17,7
"46","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,8.3,8,8.5,10,10,28,15,20,16,18,NA,17.6666666666667,18,8.25
"47","AC","KLSrC13",2013,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,78,128,137,26,124,222,85,60,55,57,NA,143.666666666667,57.3333333333333,132.5
"48","AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,10,14,10,14,14,16,21,27,19,18,NA,17,21.3333333333333,12
"49","AB","PC16CESp7",2016,"Salix pulchra","Kluane",2022-07-03,7,3,2022,26,53,45.5,19,180,19,26,44,52,45,NA,75,47,49.25
"50","AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,5.7,18.5,18,15,25,34,25,15,16,17,NA,28,16,18.25
"51","AB","HESp29",2013,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,10.5,23,17,13,24,36,23,33,21,24,NA,27.6666666666667,26,20
"52","AB","H17Sp18",2017,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,5,10.2,5.5,8,7,20,21,15,24,21,NA,16,20,7.85
"53","AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,20,8,8,8,9,38,25,22,15,23,NA,24,20,8
"54","AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk",2022-07-03,7,3,2022,7.5,12.5,10,9,16,10,17,21,20,12,NA,14.3333333333333,17.6666666666667,11.25
"55","JB","H15Sa12",2015,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,6.5,20,14,10,25,25,21,43,35,25,NA,23.6666666666667,34.3333333333333,17
"56","JB","K15PSa9",2015,"Salix arctica","Kluane",2022-07-03,7,3,2022,7,37,29,17,16,35,14,91,53,59,NA,21.6666666666667,67.6666666666667,33
"57","JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,5.9,29,21,13,71,44,32,46,32,47,NA,49,41.6666666666667,25
"58","JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,5,17,11,5,33,35,13,45,19,21,NA,27,28.3333333333333,14
"59","JB","H15Sa10",2015,"Salix arctica","Qikiqtaruk",2022-07-03,7,3,2022,6.3,32,29,12,18,51,19,30,22,35,NA,29.3333333333333,29,30.5
"60","JB","K15PSa15",2015,"Salix arctica","Kluane",2022-07-03,7,3,2022,7,21,18,8,19,20,24,44,45,49,NA,21,46,19.5
"61","JB","K15PSa12",2015,"Salix arctica","Kluane",2022-07-03,7,3,2022,4.9,24.7,24,20,34,42,11,43,49,30,NA,29,40.6666666666667,24.35
"62","EW","KP16Sr60",2016,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,50.5,41,32,15,110,120,125,45,50,54,NA,118.333333333333,49.6666666666667,36.5
"63","EW","KP16Sr58",2016,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,43.2,64,46,32,255,75,149,44,41,40,NA,159.666666666667,41.6666666666667,55
"64","EW","KP16Sr57",2016,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,73.5,68,47,24,305,290,25,52,45,44,NA,206.666666666667,47,57.5
"65","EW","H17Sr37",2017,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,7.5,10,9,9,11,10,9,19,18,14,NA,10,17,9.5
"66","EW","KP18Sa8",2018,"Salix richardsonii","Kluane",2022-07-03,7,3,2022,10.9,22,10.2,9,20,20,23,21,20,22,NA,21,21,16.1
"67","EW","H18Sr27",2018,"Salix richardsonii","Qikiqtaruk",2022-07-03,7,3,2022,18.5,16,9,8,40,32,33,31,29,34,NA,35,31.3333333333333,12.5
"68","IMS","KLSpE2",2013,"Salix pulchra","Kluane",2022-07-10,7,10,2022,31,122,55,50,16,22,31,44,25,41,NA,23,36.6666666666667,88.5
"69","IMS","KLSpE3",2013,"Salix pulchra","Kluane",2022-07-10,7,10,2022,13.5,9.5,7.5,6,9,11,7,22,28,16,NA,9,22,8.5
"70","IMS","KLSpE4",2013,"Salix pulchra","Kluane",2022-07-10,7,10,2022,49,80,83,35,16,11,19,29,27,35,NA,15.3333333333333,30.3333333333333,81.5
"71","LB","KP16Sr41",2016,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,30.5,32,20,11,76,91,44,39,28,38,NA,70.3333333333333,35,26
