"Date","mean_moist"
2022-06-01,1794.2619047619
2022-06-02,1785.3828125
2022-06-03,1785.99826388889
2022-06-04,1789.99565972222
2022-06-05,1789.13715277778
2022-06-06,1786.14756944444
2022-06-07,1796.31163194444
2022-06-08,1768.4375
2022-06-09,1764.9140625
2022-06-10,1765.46961805556
2022-06-11,1792.65972222222
2022-06-12,1830.10677083333
2022-06-13,1840.41232638889
2022-06-14,1820.20225694444
2022-06-15,1858.99565972222
2022-06-16,1926.61024305556
2022-06-17,2018.1484375
2022-06-18,2091.23958333333
2022-06-19,2156.11805555556
2022-06-20,2174.25347222222
2022-06-21,2185.30381944444
2022-06-22,2284.89583333333
2022-06-23,2287.90190972222
2022-06-24,2373.61111111111
2022-06-25,2387.15277777778
2022-06-26,2503.30408340573
2022-06-27,2526.67881944444
2022-06-28,2509.39756944444
2022-06-29,2516.67621527778
2022-06-30,2536.50520833333
2022-07-01,2458.20138888889
2022-07-02,2348.37934027778
2022-07-03,2187.91753472222
2022-07-04,2114.83767361111
2022-07-05,2065.62239583333
2022-07-06,2038.61111111111
2022-07-07,2010.40451388889
2022-07-08,1975.15017361111
2022-07-09,1946.75347222222
2022-07-10,1922.25086805556
2022-07-11,1902.31944444444
2022-07-12,2001.01822916667
2022-07-13,2026.4375
2022-07-14,1983.78298611111
2022-07-15,1949.66232638889
2022-07-16,1929.85329861111
2022-07-17,1891.68836805556
2022-07-18,1826.34635416667
2022-07-19,1832.72569444444
2022-07-20,1820.77517361111
2022-07-21,1827.31597222222
2022-07-22,1829.4609375
2022-07-23,1878.93142361111
2022-07-24,1865.18923611111
2022-07-25,1858.96788194444
2022-07-26,1825.12673611111
2022-07-27,1810.49479166667
2022-07-28,1818.03732638889
2022-07-29,1815.97309027778
2022-07-30,1804.68055555556
2022-07-31,1839.50694444444
2022-08-01,1877.46440972222
2022-08-02,1931.09635416667
2022-08-03,2138.453125
2022-08-04,2046.86892361111
2022-08-05,1940.04166666667
2022-08-06,1907.88107638889
2022-08-07,1894.28125
2022-08-08,1888.20572916667
2022-08-09,1871.42621527778
2022-08-10,1935.33767361111
2022-08-11,1953.38107638889
2022-08-12,1916.05208333333
2022-08-13,1895.01475694444
2022-08-14,1875.64583333333
2022-08-15,1858.0173053152
