"Date","mean_temp"
2022-06-01,-0.504166666666667
2022-06-02,-0.433648003472222
2022-06-03,-0.296603732638889
2022-06-04,-0.241373697916667
2022-06-05,-0.219292534722222
2022-06-06,-0.214246961805556
2022-06-07,-0.204481336805556
2022-06-08,-0.204155815972222
2022-06-09,-0.204372829861111
2022-06-10,-0.205729166666667
2022-06-11,-0.204644097222222
2022-06-12,-0.200249565972222
2022-06-13,-0.180501302083333
2022-06-14,-0.169379340277778
2022-06-15,-0.135796440972222
2022-06-16,-0.0849066840277778
2022-06-17,0.0533311631944444
2022-06-18,0.143880208333333
2022-06-19,0.182183159722222
2022-06-20,0.211534288194444
2022-06-21,0.318413628472222
2022-06-22,0.402398003472222
2022-06-23,0.670247395833333
2022-06-24,0.956922743055556
2022-06-25,1.31705729166667
2022-06-26,1.93625108601216
2022-06-27,2.35997178819444
2022-06-28,2.88991970486111
2022-06-29,3.20659722222222
2022-06-30,3.10677083333333
2022-07-01,3.61203342013889
2022-07-02,3.90798611111111
2022-07-03,3.92941623263889
2022-07-04,4.32866753472222
2022-07-05,4.48920355902778
2022-07-06,4.60411241319444
2022-07-07,4.48296440972222
2022-07-08,4.18088107638889
2022-07-09,3.98551432291667
2022-07-10,3.79790581597222
2022-07-11,3.66574435763889
2022-07-12,3.07850477430556
2022-07-13,3.30278862847222
2022-07-14,3.37874348958333
2022-07-15,3.10894097222222
2022-07-16,3.38026258680556
2022-07-17,3.80832248263889
2022-07-18,4.20334201388889
2022-07-19,3.90760633680556
2022-07-20,3.708984375
2022-07-21,3.52652994791667
2022-07-22,3.54313151041667
2022-07-23,3.27077907986111
2022-07-24,3.29220920138889
2022-07-25,3.76817491319444
2022-07-26,4.90608723958333
2022-07-27,4.35123697916667
2022-07-28,4.12879774305556
2022-07-29,4.40462239583333
2022-07-30,4.72498914930556
2022-07-31,4.908203125
2022-08-01,4.94542100694444
2022-08-02,4.71446397569444
2022-08-03,4.61083984375
2022-08-04,5.02088758680556
2022-08-05,5.14008246527778
2022-08-06,4.66140407986111
2022-08-07,4.53396267361111
2022-08-08,4.08284505208333
2022-08-09,4.17724609375
2022-08-10,3.95187717013889
2022-08-11,4.24674479166667
2022-08-12,5.21652560763889
2022-08-13,5.482421875
2022-08-14,5.13823784722222
2022-08-15,4.50455809641533
