"","Response variable","Scenario","Site","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","effect","nobs"
"Intercept","Cover","Novel","CG",-3.41557923713442,0.331701207060584,-4.08045475974959,-2.76632237371779,"1.00",11300.8532639843,8594.74580728375,"fixed",147
"Age","Cover","Novel","CG",0.238397287628186,0.0695853466135179,0.100356431744721,0.374243273984456,"1.00",7852.94514132076,8411.44557528473,"fixed",147
"sigma","Cover","Novel","CG",14.4109427190497,2.3975209615704,10.1555187337163,19.5694497347725,"1.00",3506.55901472551,7114.15425057097,"residual",147
"Intercept ","Canopy height","Novel","CG",2.96016533280752,0.111251027266878,2.73882186021985,3.17955343090917,"1.00",2717.1968052225,4104.63404830623,"fixed",341
"Age ","Canopy height","Novel","CG",0.00328881106071095,0.0178742907927133,-0.0317500929734202,0.0386565951795045,"1.00",4168.61435451355,6754.49019691681,"fixed",341
"sigma ","Canopy height","Novel","CG",0.275949786986514,0.0137723255664881,0.250249335764766,0.305142362688996,"1.00",7087.24292702253,8742.73345035784,"residual",341
"Intercept      ","Mean height","Natural","QHI",4.51635809112818,1.1545877224267,2.15980685650284,6.74634720813075,"1.00",5169.2671325737,4668.9170867026,"fixed",57
"Year ","Mean height","Natural","QHI",0.343369873754217,0.0707200608609466,0.204834546058255,0.486129935481447,"1.00",4975.0378470978,4691.14950283642,"fixed",57
"sigma  ","Mean height","Natural","QHI",2.08204694566882,0.225386952194331,1.69723359616905,2.57379193724472,"1.00",7090.2912916028,7280.5612372999,"residual",57
"     Intercept  ","Max height","Natural","QHI",7.28475818664629,3.19346452988881,0.870561251277,13.6554861097277,"1.00",4291.15663181411,5399.11959277265,"fixed",57
"Year     ","Max height","Natural","QHI",0.727152444628582,0.198277824107891,0.333396739530296,1.11964190111107,"1.00",4390.31020806177,5490.28488413198,"fixed",57
"sigma   ","Max height","Natural","QHI",3.21196523726817,0.342974044882778,2.62719391134418,3.97456125845941,"1.00",6601.00193365182,7586.74651275182,"residual",57
" Intercept   ","Max cover","Natural","QHI",-1.16050645187985,0.397729044852269,-1.95173096142479,-0.394597705239667,"1.00",8213.299325149,6540.10943712361,"fixed",11
" Year   ","Max cover","Natural","QHI",-0.000110799476324387,0.0153504062605074,-0.0294000775847667,0.0306937218746111,"1.00",8306.76377781713,6648.77906515908,"fixed",11
"sigma     ","Max cover","Natural","QHI",110.902838971853,70.1374186753139,28.4224122824216,296.194213892083,"1.00",5243.93050907985,5617.11375313409,"residual",11
"  Intercept ","Mean cover","Natural","QHI",-1.97633628678909,0.338486055475346,-2.68275428792437,-1.31770084561339,"1.00",9042.14312285897,6913.91546927829,"fixed",11
"   Year ","Mean cover","Natural","QHI",0.016700689250977,0.0128269774408526,-0.00838963035043445,0.0426650921891034,"1.00",9151.72770233048,6995.29065217092,"fixed",11
"       sigma  ","Mean cover","Natural","QHI",174.530806515823,93.0015450483062,47.5759655356167,403.969694590965,"1.00",8410.4995187207,7361.88848456428,"residual",11
"    Intercept ","Max cover","Natural","Toolik",-0.662200283201697,0.722049557123491,-2.09392538897223,0.753310228261508,"1.00",11105.731405808,8009.33755091686,"fixed",14
"     Year ","Max cover","Natural","Toolik",0.0162122275901931,0.0589142757700861,-0.100416152270223,0.1329484253027,"1.00",11045.5193985693,7938.01904823689,"fixed",14
"     sigma  ","Max cover","Natural","Toolik",3.16442864252057,1.15597708908336,1.40409226351148,5.91612223223057,"1.00",11868.5061689233,9049.67353330209,"residual",14
"Intercept    ","Mean cover","Natural","Toolik",-2.19471778888276,0.213663861032753,-2.62181044712366,-1.76613828406358,"1.00",8918.06650554812,7005.73536607776,"fixed",14
" Year    ","Mean cover","Natural","Toolik",-0.00365456660378,0.0178225174325416,-0.0395526941248946,0.0316930319812414,"1.00",8277.06961898139,6757.8333598635,"fixed",14
"  sigma     ","Mean cover","Natural","Toolik",165.614624697157,89.989382130686,50.1900092170191,402.229404532389,"1.00",4001.88150267236,5848.80574941984,"residual",14
