"","cell","ID","pft_agb_deciduousshrub_p50_2020_wgs84","x","y"
"1",3425,1,14.6171092063298,-146.0326,70.24051
"2",3426,1,10.931461845378,-145.9326,70.24051
"3",3427,1,16.1707719718686,-145.8326,70.24051
"4",3428,1,21.4043968612829,-145.7326,70.24051
"5",3453,1,4.23296611646259,-143.2326,70.24051
"6",3701,1,34.7990925832665,-146.2326,70.14051
"7",3702,1,23.2381075331512,-146.1326,70.14051
"8",3703,1,15.2398574118012,-146.0326,70.14051
"9",3704,1,11.6678788013975,-145.9326,70.14051
"10",3705,1,16.3275275580704,-145.8326,70.14051
"11",3706,1,20.7644544437129,-145.7326,70.14051
"12",3707,1,17.0426315819384,-145.6326,70.14051
"13",3708,1,15.6451504595912,-145.5326,70.14051
"14",3709,1,15.887880381429,-145.4326,70.14051
"15",3710,1,13.773480008617,-145.3326,70.14051
"16",3711,1,21.9179917511025,-145.2326,70.14051
"17",3719,1,56.4109820597705,-144.4326,70.14051
"18",3720,1,59.419241882455,-144.3326,70.14051
"19",3721,1,51.9860184955007,-144.2326,70.14051
"20",3722,1,36.3073530429639,-144.1326,70.14051
"21",3723,1,30.5839652071934,-144.0326,70.14051
"22",3724,1,41.1667755572175,-143.9326,70.14051
"23",3725,1,44.7454553002991,-143.8326,70.14051
"24",3726,1,16.4039429420431,-143.7326,70.14051
"25",3727,1,31.660574366839,-143.6326,70.14051
"26",3728,1,41.8313423533522,-143.5326,70.14051
"27",3729,1,36.5081931677243,-143.4326,70.14051
"28",3730,1,14.4828759734461,-143.3326,70.14051
"29",3731,1,6.24723583340974,-143.2326,70.14051
"30",3732,1,30.4307543873031,-143.1326,70.14051
"31",3733,1,40.0470151609681,-143.0326,70.14051
"32",3734,1,38.8154023323088,-142.9326,70.14051
"33",3735,1,38.7421104592178,-142.8326,70.14051
"34",3736,1,38.4426284892718,-142.7326,70.14051
"35",3978,1,42.7320629303645,-146.3326,70.04051
"36",3979,1,36.1871865525433,-146.2326,70.04051
"37",3980,1,30.3146131364801,-146.1326,70.04051
"38",3981,1,25.8477578364488,-146.0326,70.04051
"39",3982,1,24.6776980228865,-145.9326,70.04051
"40",3983,1,23.0876128951338,-145.8326,70.04051
"41",3984,1,17.3125164246752,-145.7326,70.04051
"42",3985,1,15.548515610402,-145.6326,70.04051
"43",3986,1,17.6151418271022,-145.5326,70.04051
"44",3987,1,18.0165201566256,-145.4326,70.04051
"45",3988,1,16.1474642437989,-145.3326,70.04051
"46",3989,1,22.9213491742998,-145.2326,70.04051
"47",3990,1,38.6019216867339,-145.1326,70.04051
"48",3991,1,58.8624551492664,-145.0326,70.04051
"49",3992,1,76.8918031665092,-144.9326,70.04051
"50",3993,1,84.726862246588,-144.8326,70.04051
"51",3994,1,101.12781633545,-144.7326,70.04051
"52",3995,1,104.957191985225,-144.6326,70.04051
"53",3996,1,81.4888183734163,-144.5326,70.04051
"54",3997,1,61.2925628414871,-144.4326,70.04051
"55",3998,1,64.6024693371279,-144.3326,70.04051
"56",3999,1,54.3660462638086,-144.2326,70.04051
"57",4000,1,37.673389440169,-144.1326,70.04051
"58",4001,1,32.7419221611166,-144.0326,70.04051
"59",4002,1,43.3332327973602,-143.9326,70.04051
"60",4003,1,46.5086915444962,-143.8326,70.04051
"61",4004,1,43.1918183307997,-143.7326,70.04051
"62",4005,1,45.1716391143391,-143.6326,70.04051
"63",4006,1,42.9411950473542,-143.5326,70.04051
"64",4007,1,37.3943376223124,-143.4326,70.04051
"65",4008,1,33.848523006497,-143.3326,70.04051
"66",4009,1,31.081769911274,-143.2326,70.04051
"67",4010,1,39.315330331204,-143.1326,70.04051
"68",4011,1,42.3865640179182,-143.0326,70.04051
"69",4012,1,39.4749384240179,-142.9326,70.04051
"70",4013,1,38.4145575142903,-142.8326,70.04051
"71",4014,1,38.5832085376517,-142.7326,70.04051
"72",4015,1,42.6642857162448,-142.6326,70.04051
"73",4016,1,43.1213047685018,-142.5326,70.04051
"74",4017,1,39.337604366072,-142.4326,70.04051
"75",4256,1,72.1743656073652,-146.3326,69.94051
"76",4257,1,56.51978271346,-146.2326,69.94051
"77",4258,1,60.6967348128344,-146.1326,69.94051
"78",4259,1,68.34727109112,-146.0326,69.94051
"79",4260,1,77.7930246466443,-145.9326,69.94051
"80",4261,1,78.7259583611006,-145.8326,69.94051
"81",4262,1,61.7972117844569,-145.7326,69.94051
"82",4263,1,44.5300441173895,-145.6326,69.94051
"83",4264,1,43.7005548700447,-145.5326,69.94051
"84",4265,1,45.773289831349,-145.4326,69.94051
"85",4266,1,45.1134988334559,-145.3326,69.94051
"86",4267,1,39.7101867803011,-145.2326,69.94051
"87",4268,1,46.312960412401,-145.1326,69.94051
"88",4269,1,66.0162093937138,-145.0326,69.94051
"89",4270,1,82.3344796481568,-144.9326,69.94051
"90",4271,1,89.7928008356548,-144.8326,69.94051
"91",4272,1,105.282748923286,-144.7326,69.94051
"92",4273,1,107.593680607194,-144.6326,69.94051
"93",4274,1,98.5833254917401,-144.5326,69.94051
"94",4275,1,112.778432497818,-144.4326,69.94051
"95",4276,1,120.899382720673,-144.3326,69.94051
"96",4277,1,81.9423424220406,-144.2326,69.94051
"97",4278,1,54.4119420133449,-144.1326,69.94051
"98",4279,1,58.3864468735024,-144.0326,69.94051
"99",4280,1,69.4766052515607,-143.9326,69.94051
"100",4281,1,68.3452253870103,-143.8326,69.94051
"101",4282,1,71.3651839352874,-143.7326,69.94051
"102",4283,1,64.735483688534,-143.6326,69.94051
"103",4284,1,54.4540737356993,-143.5326,69.94051
"104",4285,1,47.806670678441,-143.4326,69.94051
"105",4286,1,49.2621524757686,-143.3326,69.94051
"106",4287,1,53.3843018251744,-143.2326,69.94051
"107",4288,1,65.3711926348619,-143.1326,69.94051
"108",4289,1,65.1522572174177,-143.0326,69.94051
"109",4290,1,45.909269834527,-142.9326,69.94051
